cnms,frequency,total_salecs
"Mexico,Canada,Russia,United Kingdom,Brazil,China",1,14775.42
Industrial Customers,7,14754.553
Retail Stores,20,14742.437
Electronics & High Tech,7,14740.062
Private / alternative payors,2,14690.11
Non Food Consumer Products,9,14621.815
Ground Transportation,8,14618.055
Other Overseas (exl. U.S.),4,14604.765
State & Local Government,6,14579.131
Northern Europe,8,14538.251
North & Central America,7,14479.0
Southern California,65,14454.826000000001
Transportation & Mobility,14,14403.229
Electric - Small commercial and industrial,10,14372.6
Retail residential electric service,7,14369.123
Turbo Technologies,4,14367.0
B&Q,3,14366.217
Kingston Technology Corporation,7,14288.66
Independently Owned Natural Products Retailers,7,14270.607
Interstate pipeline,7,14161.0
Channel partners,33,14138.17
Commercial Insurance,15,14127.472
Banking,21,14116.443
OEM sales - Europe & Africa,2,14102.96
Accredo Health Inc.,38,14097.69
"California, Texas, Florida and Arizona",5,14068.067
Commercial-Retail,16,14057.5
Semiconductor,46,14049.84
All Other United States,12,13976.478
Anheuser-Busch InBev SA/NV,17,13956.51
Materials processing,15,13940.45
All others,28,13789.292
Retail grocery,5,13746.4
Automotive market,10,13728.278
Kroger Co. (The),237,13665.332
Europe excluding Germany,3,13652.244999999999
Civil/Infrastructure,7,13618.06
"Other International (UK, Italy, Germany, Sweden, F",6,13560.73
Commercial and Industrial,41,13531.365
Public Services,15,13448.659
AT&T INC,41,13351.918
87 Customers,3,13339.18
South Korea,14,13323.918
Direct to Consumer,18,13287.106
MANAGED CARE (HMO AND PPOS),6,13260.484
Residential & Farm-Quebec,3,13259.086
Agriculture,4,13248.292000000001
"Texas, Colorado, North Carolina, Iowa, and Georgia",7,13232.481
Industrial & IoT,6,13178.0
General Service,6,13157.09
Business Customer,6,13157.007
Omnichannel retail,3,13109.0
Gas-Residential,6,13089.0
Private,13,13053.503
50 Customers,12,12984.26
Independent Sales Network,5,12984.1
Vehicle service professionals,7,12959.2
6 Customers,102,12955.007
"American Funds Distributors, Inc",10,12875.194
Premium,2,12870.0
Transportation Systems,4,12823.0
Physician lab services,2,12819.279999999999
Appalachia,3,12812.0
Developed,6,12788.6
TD SYNNEX Corporation,19,12769.776
Proprietary,16,12765.02
30 Customers,8,12755.118
HSBC Bank USA,9,12735.299
Other foreign countries,18,12618.956
"Airlines, aircraft leasing, MROs & other aircraft",7,12616.0
Commercial aerospace,12,12553.839
Wholesale and Other,5,12514.706
China (including Hong Kong),1,12405.18
Pharmaceutical,16,12364.027
OE - Value add,3,12341.0
Domestic market,2,12237.489000000001
"California, Florida, Texas and Arizona",10,12222.055
Residential new construction,8,12205.641
European Commission,4,12185.79
Residential -  Rate-regulated electric revenues,4,12181.0
Small Commercial and Industrial-Electric,15,12172.98
Americas (AMER),3,12168.014
General Construction,4,12155.8
BT Consumer,2,12113.335
Growth,4,12058.117
Oncology,10,12047.231
"Commercial, institutional&small industrial-Quebec",4,12035.164
Distribution/end users,7,11994.062
Chesapeake Energy Corp,33,11990.412
U.S. full service bottlers/distributors,5,11967.307999999999
Las Vegas,4,11948.2
Other Non-U.S,5,11939.61
"Asia, Middle East and Africa",3,11919.279999999999
19 Customers,56,11916.306
Channel Partners,44,11833.144
outside the U.S.,3,11807.0
Private Pay,19,11805.946
Residential customers,4,11792.747
Other third-party payors,2,11784.0
Corporate Services,2,11780.455
"Sports, Leisure and Corrections",3,11742.0
Retail-Commercial and Industrial (C&I),7,11733.1
Enterprise,26,11711.302
Commercial and Foreign Customers,8,11694.453
Business Customers,12,11659.147
High Velocity Solutions,1,11654.211
Middle Americas,1,11614.0
Fuel and other pass-through revenues,4,11588.0
Self-Pay,4,11575.313
Australia and Canada,4,11566.0
NIPPON TELEGRPH & TELE  -ADR,2,11453.56
Medicare & Medicaid,15,11436.708999999999
Large Light and Power,12,11289.393
EPI (Expanded Program on Immunization),2,11284.636999999999
Automotive Industry,41,11216.602
North America (the United States and Canada),10,11209.42
"Engineering, Construction",5,11175.0
Pennsylvania,30,11174.795
U.S. Consumers,7,11172.85
Energy,9,11106.547
Original equipment manufacturers (OEM),6,11076.75
Network Services,11,11069.909
Permian Basin,10,11052.855
Cigna Corp,17,11015.788
BP PLC  -ADR,40,10936.971
Direct-to-customers,7,10925.0
Healthcare/Life Sciences,14,10920.992
Outside China,26,10914.115
Petrochemicals,14,10831.382
North America Retail,5,10816.7
Civil Infrastructure,8,10800.057
Offshore market,2,10739.400000000001
Plains Marketing LP,36,10675.488
Foxconn Technology Group,19,10638.719
Southwest,14,10608.483
Other EMEA countries,4,10583.644
Europe (Except France and Benelux) North Africa,2,10577.175
Private-sector projects,11,10575.517
Direct and Distributor,14,10571.259
Building contractors,2,10556.749
Private insurance payors,12,10529.524
Occidental Energy Marketing Inc,5,10493.67
Media,17,10379.827
U.S Commercial,14,10322.364
Kia Corporation,19,10288.21
Federal,4,10257.4
State and local agencies,7,10236.036
Residential-Gas,20,10124.521
"Europe, excluding EuroZone",4,10114.35
Direct Sales Channel,7,10098.562
Hawaii and Alaska,8,10096.844
Vitol Holding B.V.,4,10090.577
All Other States,12,10071.246000000001
Molecular Diagnostics,12,10066.714
Medical,64,10050.562
Michigan,28,10048.509
Retail stores,15,10041.622
Other European Countries,7,10021.091
