gvkey,sector
025539,45
025570,40
025600,60
025623,35
025633,60
025645,30
025648,35
025665,60
025676,45
025683,45
025726,20
025745,10
025747,45
025774,45
025776,15
025783,45
025848,45
025874,10
025893,20
025895,40
025904,35
025921,20
025923,25
025924,35
025929,20
025937,35
025950,60
025964,20
025978,45
025999,35
026011,45
026013,10
026021,20
026045,20
026061,50
026069,10
026094,35
026112,35
026123,35
026144,25
026146,35
026147,35
026156,45
026162,35
026187,45
026246,35
026269,35
026273,35
026297,40
026304,45
026336,35
026340,35
026341,35
026351,60
026359,35
026367,40
026376,35
026385,35
026410,60
026494,45
026514,45
026543,10
026545,60
026658,55
026676,55
026677,45
026709,45
026722,45
026746,45
026768,15
026798,35
026839,60
026863,25
026864,10
026874,35
026892,35
027119,15
027148,30
027155,35
027198,35
027199,10
027201,35
027240,25
027318,50
027333,25
027335,60
027354,35
027372,35
027373,25
027386,20
027387,45
027392,35
027393,25
027463,60
027476,35
027574,20
027576,30
027635,45
027653,25
027670,35
027677,10
027760,25
027780,60
027786,10
027794,45
027800,60
027802,20
027816,10
027828,25
027841,15
027845,35
027875,60
027905,35
027907,30
027914,35
027925,45
027928,45
027965,45
027980,25
027981,25
028004,30
028027,35
028071,45
028087,45
028091,20
028113,35
028119,60
028139,45
028169,15
028180,25
028192,20
028194,15
028195,45
028262,25
028266,45
028272,35
028295,20
028303,25
028320,45
028323,60
028338,10
028340,60
028349,40
028365,35
028378,50
028383,45
028386,45
028388,25
028408,25
028421,35
028456,10
028470,35
028485,60
028515,25
028518,25
028520,10
028535,15
028543,35
028564,10
028641,20
028648,25
028670,60
028717,20
028724,20
028742,25
028762,30
028769,60
028775,45
028787,30
028790,30
028806,35
028838,40
028853,45
028877,30
028916,45
028919,10
028924,25
028930,25
028938,45
028940,45
028998,25
029001,15
029004,35
029011,25
029013,35
029015,25
029028,30
029032,35
029052,60
029082,60
029086,35
029099,60
029127,35
029133,45
029150,25
029151,25
029155,50
029156,20
029191,45
029207,35
029241,45
029274,45
029278,35
029312,35
029375,45
029382,25
029386,45
029392,15
029433,45
029435,45
029449,35
029453,10
029517,30
029524,10
029537,50
029576,40
029609,30
029621,20
029627,25
029634,45
029670,15
029684,35
029698,45
029709,45
029710,35
029722,45
029736,25
029751,15
029755,25
029760,10
029762,20
029791,45
029819,35
029830,15
029837,35
029850,50
029868,60
029887,20
029894,20
029910,45
029930,25
029955,35
029962,30
029968,15
029984,60
030007,35
030059,25
030067,60
030091,50
030098,20
030137,35
030145,10
030169,25
030170,45
030185,35
030220,25
030232,UNKNOWN
030234,10
030255,35
030259,25
030260,20
030277,25
030284,10
030298,60
030311,35
030354,60
030397,15
030398,45
030428,10
030443,30
030463,20
030495,60
030501,40
030547,10
030571,15
030576,45
030614,20
030622,45
030637,60
030649,45
030655,45
030674,35
030710,45
030714,45
030736,45
030822,60
030838,10
030861,20
030877,20
030923,10
030990,40
030999,25
031059,35
031061,35
031091,45
031094,35
031112,35
031142,45
031170,15
031203,15
031227,25
031252,10
031255,45
031292,20
031343,30
031384,10
031405,35
031418,35
031453,45
031477,35
031494,45
031507,10
031519,15
031560,25
031567,25
031587,30
031616,35
031626,15
031656,35
031673,35
031743,45
031748,45
031802,25
031823,15
031825,25
031843,45
031845,10
031846,25
031848,35
031881,45
031914,60
032106,10
032154,60
032219,35
032245,35
032247,35
032267,35
032273,40
032280,25
032285,15
032303,10
032315,30
032334,35
032345,45
032352,25
032365,35
032372,10
032382,50
032383,35
032396,35
032413,10
032451,35
032469,45
032524,45
032525,35
032528,25
032574,25
032580,60
032638,45
032671,60
032674,35
032677,50
032715,35
032748,60
032749,35
032751,60
032767,40
032775,35
032804,25
032819,25
032843,20
032846,35
032851,45
032855,45
032886,20
032894,35
032897,35
032938,10
033064,25
033067,10
033068,25
033133,35
033152,45
033175,50
033240,35
033243,25
033274,35
033275,45
033279,20
033301,45
033326,10
033420,45
033433,60
033445,35
033476,25
033487,50
033499,35
033531,45
033532,45
033542,60
033595,35
033596,20
033598,20
033601,35
033635,35
033643,35
033647,25
033668,20
033684,60
033698,35
033700,10
033708,60
033725,45
033743,35
033749,35
033751,35
033759,45
033766,45
033767,25
033780,35
033809,60
033816,35
033850,45
033913,45
033955,35
033962,20
033997,35
034010,10
034015,35
034016,35
034034,10
034051,25
034053,20
034065,35
034067,25
034074,50
034077,35
034082,35
034102,35
034135,35
034160,35
034266,35
034296,10
034300,20
034361,35
034410,35
034412,10
034414,10
034420,60
034443,15
034447,30
034459,20
034467,25
034562,35
034584,45
034587,35
034593,35
034601,UNKNOWN
034616,35
034746,35
034753,60
034765,35
034883,35
034916,25
034919,40
034941,25
034970,60
035004,10
035014,35
035030,60
035035,25
035053,30
035055,50
035056,35
035077,20
035090,35
035099,20
035137,35
035154,35
035160,20
035168,15
035182,45
035245,50
035254,35
035255,35
035264,35
035270,35
035280,35
035287,25
035290,35
035306,35
035345,20
035376,35
035441,UNKNOWN
035451,25
035497,35
035530,10
035600,35
035614,45
035627,25
035638,35
035639,35
035647,35
035649,35
035653,35
035684,30
035708,35
035714,35
035727,35
035729,35
035747,35
035780,35
035793,60
035794,45
035836,35
035852,35
035858,45
035874,30
035909,45
035959,60
035978,15
036025,35
036028,35
036037,60
036083,35
036234,40
036263,35
036264,35
036301,35
036328,35
036333,35
036404,25
036444,50
036462,50
036464,35
036473,35
036475,35
036477,30
036500,60
036525,35
036556,35
036557,50
036565,20
036570,45
036599,35
036600,35
036619,35
036635,40
036677,35
036691,50
036700,35
036717,45
036726,30
036728,35
036767,35
036777,60
036788,45
036819,35
036828,35
036853,45
036898,45
036950,35
036967,60
036985,35
036987,35
036989,30
037013,35
037032,45
037035,35
037081,35
037090,45
037110,35
037134,35
037135,35
037153,45
037168,35
037180,45
037233,40
037282,35
037292,35
037325,35
037354,35
037413,40
037420,25
037460,25
037473,35
037480,45
037488,35
037490,25
037495,35
037502,25
037510,50
037527,35
037541,35
037559,35
037588,35
037593,45
037610,50
037617,20
037672,55
037673,40
037694,20
037752,50
037773,35
037775,20
037786,35
037793,25
037810,25
037811,35
037812,35
037839,25
037856,30
037862,35
037871,45
037925,35
038022,20
038038,20
038073,20
038081,25
038107,45
038125,20
038132,20
038222,60
038237,40
038333,35
038342,35
038389,35
038465,45
038469,35
038474,35
038491,45
038513,35
038616,40
038617,35
038621,30
038635,30
038647,20
038676,30
038745,35
038762,20
038770,25
038782,35
038805,35
038821,35
038832,40
038835,45
038870,20
038883,35
038908,35
038915,45
038920,35
038923,35
038936,25
038978,40
038986,35
038995,45
039041,10
039054,50
039056,45
039057,35
039061,25
039103,40
039121,45
039122,25
039124,50
039170,35
039190,35
039197,30
039246,35
039259,50
039276,25
039280,45
039291,35
039301,30
039309,50
039310,25
039316,20
039319,20
039359,35
039371,45
039402,35
039418,45
039448,45
039464,60
039481,25
039503,20
039508,35
039528,45
039542,30
039544,30
039556,25
039563,35
039596,20
039627,20
039633,35
039636,35
039663,60
039680,35
039683,35
039726,10
