gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001121,ADAMS RESOURCES & ENERGY INC,AE,P,01,LU,61487,59,1975-02-07,E
001122,ADAMS RUSSELL,AAR.1,P,01,LC,47650,24955,1969-02-05,1987-12-31
001123,ADCOR ELECTRONICS INC,ADCR,C,01,LU,85105,7521,1985-04-29,1986-12-19
001124,ADDISON-WESLEY PUB  -CL B,ADSNB,P,01,LU,10787,73,1972-12-14,1988-03-24
001125,ADDITIVE TECHNOLOGY CORP,4304B,P,01,LU,10795,7002,1984-04-26,1985-08-30
001126,ADDMASTER CORP,ADDC,C,00X,LU,10808,62,1973-06-01,1978-01-30
001126,ADDMASTER CORP,ADDC,C,01,LU,10808,62,1978-01-31,1990-06-19
001128,ADIA SERVICES INC,ADIA.,P,01,LU,85113,7245,1984-10-02,1995-01-31
001129,ADVANCED FUEL SYSTEMS INC,AFSI.1,P,01,LU,10816,5232,1981-12-10,1983-08-31
001130,ADVANCED LOGIC SYSTEMS INC,5710B,C,01,LU,10824,7087,1984-06-15,1987-06-10
001131,ADLEY CORP,ADLY,P,01,LU,10832,22229,1972-12-14,1973-07-31
001133,ADMIRAL CORP,ADL.1,P,01,LU,22488,23147,1962-01-31,1974-04-30
001133,ADMIRAL CORP,ADL.1,C,00X,LU,22488,23147,1950-01-01,1962-01-30
001134,ADOBE BUILDING CENTERS INC,ADBEA,C,00X,LC,10859,60,1973-01-01,1978-01-30
001134,ADOBE BUILDING CENTERS INC,ADBEA,P,01,LC,10859,60,1978-01-31,1978-10-03
001135,ADOBE OIL & GAS CORP,AOI.1,P,01,LU,57461,25571,1973-11-26,1985-11-29
001137,ADVANCE CIRCUITS INC,ADVC.,P,01,LU,10867,76,1980-12-05,1995-10-31
001138,ADVANCE ROSS CORP,AROS.,P,01,LU,10875,347,1972-12-14,1996-01-31
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,P,01,LU,10891,54,1978-01-31,1981-08-31
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,C,00X,LU,10891,54,1973-02-01,1978-01-30
001140,ADVANCED COMMUNICATIONS INC,5022B,C,01,LU,10904,6815,1984-01-26,1986-10-27
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,C,01,LU,10912,55,1978-01-31,1991-07-03
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,C,00X,LU,10912,55,1973-04-01,1978-01-30
001142,ADVANCED ENERGY CORP,5119B,P,01,LU,46624,2454,1982-01-29,1986-09-30
001143,ADVANCED ENERGY RESOURCES,3AVEG,P,01,LU,78523,27331,1984-05-10,1985-03-29
001145,ADVANCED SYSTEMS INC,ASY.2,C,00X,LU,65840,78,1976-11-01,1980-07-30
001145,ADVANCED SYSTEMS INC,ASY.2,P,01,LU,65840,78,1980-07-31,1987-12-31
001146,ADVENT CORP,ADVNQ.,P,01,LU,10971,77,1972-12-14,1981-04-14
001147,ADVERTISING UNLIMITED INC,AUNL,P,01,LU,10990,410,1979-01-31,1987-10-23
001148,ADVEST GROUP INC,ADV.2,P,01,LU,64514,420,1980-11-21,2001-02-28
001150,AEGIS CORP,AO.1,P,01,LU,28716,23566,1966-04-29,1984-11-30
001151,AEQUITRON MEDICAL INC,AQTN,P,01,LU,10998,6943,1984-03-22,1996-12-31
001153,AERO-FLOW DYNAMICS INC,AER.2,P,01,LU,28724,23567,1962-07-02,1983-01-31
001154,AERO SYSTEMS ENGINEERING INC,AERS.,P,01,LU,85164,7538,1985-05-10,2003-12-23
001155,AERO SYSTEMS INC,AESM,C,01,LU,11010,87,1975-06-30,1993-07-30
001156,AERODEX INC,AOX.1,P,01,LU,46973,24915,1968-10-17,1975-06-30
001157,AEROJET GENERAL CORP,AJT,P,01,LU,28732,23568,1962-07-02,1972-10-31
001159,AERONCA INC,ARN.2,P,01,LU,28740,23569,1966-01-31,1986-09-05
001161,ADVANCED MICRO DEVICES,AMD,P,01,LU,61241,211,1972-12-14,E
001162,ADVENTURE LANDS OF AMERICA,ADLA,P,01,LU,11026,68,1978-10-06,1985-11-29
001163,ADVANCED MONITORING SYS INC,3ADNME,C,01,LU,11034,245,1982-01-29,1988-03-21
001164,MCI INC,MCIP,P,01,LC,11042,61,1980-11-24,1986-07-28
001164,MCI INC,MCIP,P,10,LC,90284,45424,2004-07-14,2006-01-06
001164,MCI INC,MCIP,P,01,LC,11042,61,1986-08-22,2002-07-29
001165,B-FAST CORP,BFTC,C,01,LC,11069,85,1981-04-14,1988-04-27
001166,ASM INTERNATIONAL NV,ASMIY,P,90,LC,11077,374,1981-05-12,2015-08-20
001167,ADVANT CORP,AVNT.1,P,01,LU,11085,5260,1982-01-04,1982-10-29
001169,ADV GENETIC SCIENCES,AGSI.,P,01,LC,11114,6414,1983-09-22,1988-11-22
001170,ADVANCED TELECOMMUN-OLD,ATEL.,P,01,LC,11149,6737,1984-01-31,1985-07-30
