gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
021540,WAYFAIR INC,W,2025-12-31,2025,25,2550,255040,25504060,449129,5961,44,449,59,5961
021595,VIST FINANCIAL CORP,VIST.1,2011-12-31,2011,40,4010,401010,40101015,522110,6020,52,522,60,6020
021604,PARAMOUNT GROUP INC,PGRE,2024-12-31,2024,60,6010,601040,60104010,531120,6798,53,531,67,6798
021626,VIVINT SOLAR INC,VSLR,2019-12-31,2019,20,2010,201040,20104010,335999,3620,33,335,36,3620
021627,CALITHERA BIOSCIENCES INC,CALA,2022-12-31,2022,35,3520,352010,35201010,325414,2836,32,325,28,2836
021630,STORE CAPITAL CORP,STOR,2021-12-31,2021,60,6010,601010,60101010,531120,6798,53,531,67,6798
021635,AFFIMED NV,AFMDQ,2023-12-31,2023,35,3520,352010,35201010,325414,2836,32,325,28,2836
021652,CNX MIDSTREAM PARTNERS LP,CNXM,2019-12-31,2019,10,1010,101020,10102040,486210,4922,48,486,49,4922
021732,YUMA ENERGY INC -OLD,YUMA.1,2015-12-31,2015,10,1010,101020,10102020,211111,1311,21,211,13,1311
021744,XENON PHARMACEUTICALS INC,XENE,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
021761,CDK GLOBAL INC,CDK,2021-06-30,2021,45,4510,451030,45103010,519130,7370,51,519,73,7370
021776,AVANIR PHARMACEUTICALS INC,AVNR,2014-09-30,2014,35,3520,352020,35202010,325412,2834,32,325,28,2834
021798,FRESHPET INC,FRPT,2025-12-31,2025,30,3020,302020,30202030,311111,2040,31,311,20,2040
021808,CAESARS ENTERTAINMENT INC,CZR,2025-12-31,2025,25,2530,253010,25301010,713210,7990,71,713,79,7990
021816,TRAVELPORT WORLDWIDE LTD,TVPT,2018-12-31,2018,45,4510,451020,45102020,519130,7370,51,519,73,7370
021834,MAMMOTH ENERGY SERVICES INC,TUSK,2025-12-31,2025,10,1010,101010,10101020,213112,1389,21,213,13,1389
021841,COHERUS ONCOLOGY INC,CHRS,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
021845,METALDYNE PERFORMANCE GROUP,MPG.4,2016-12-31,2016,25,2510,251010,25101010,336350,3714,33,336,37,3714
021847,HUBSPOT INC,HUBS,2025-12-31,2025,45,4510,451030,45103010,518210,7370,51,518,73,7370
021867,MEDEQUITIES REALTY TRUST INC,MRT.4,2018-12-31,2018,60,6010,601010,60101050,531120,6798,53,531,67,6798
021898,BOOT BARN HOLDINGS INC,BOOT,2025-03-31,2024,25,2550,255040,25504010,458210,5661,45,458,56,5661
021901,KYNTRA BIO INC,KYNB,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
